MAE,Max_Error,MSE,d(%),MAPE(%),Explained_Variance,k
0.01571291878292909,0.1461153939586195,0.00043008026002733604,6.934889188490866,1.1766833477212961,1.0,1.0
0.005539076990125996,0.07818841676774757,7.188736314108388e-05,4.101918311863017,0.3845956698982945,1.0,2.0
0.004534677719207694,0.062011226197886016,5.55610500671022e-05,3.253231038527857,0.30317568824265634,1.0,3.0
0.004320074111419601,0.05376989275061317,5.2424241554123815e-05,3.0734488980428543,0.2860155389528173,1.0,4.0
0.00426804817770763,0.05141283685988407,5.1106143960004306e-05,3.058723929328903,0.2827886271750826,1.0,5.0
0.004221682174990626,0.05316292446145776,4.995742355330683e-05,2.9679000804810176,0.2801596044967196,1.0,6.0
0.004171264928282792,0.05559347288807315,4.871037302274268e-05,3.0965144660802912,0.2778133227005999,1.0,7.0
0.004089629406389237,0.05788600428141866,4.745571151357067e-05,3.224206733799017,0.2724194053523524,1.0,8.0
