explained_variance,max_error,mean_absolute_error,mean_squared_error,r2_score,mean_absolute_percentage_error,eval_eos_type,eval_eos_name
0.9999979138374329,0.015126228,0.0010543513,3.529505e-06,0.9999971036808913,9.411933e-05,Hadronic,KDE0v
0.9999985098838806,0.014520645,0.0006522956,2.2707052e-06,0.9999983353357478,5.264568e-05,Hadronic,SLY9
0.9999804496765137,0.033330917,0.0024475562,2.6953925e-05,0.9999759477729997,0.00018648278,Hybrid,"JJ(VQCD(APR)), intermediate"
0.999994695186615,0.020842552,0.0012237008,6.26388e-06,0.9999932229213098,9.760849e-05,Hybrid,KBH(QHC21_C)
0.999993622303009,0.020902634,0.0011526097,8.062513e-06,0.9999925957304796,8.449676e-05,Hybrid,OOS(DD2)-vect interaction 2 flavors
0.9999943971633911,0.021827698,0.0010385322,5.418267e-06,0.9999938173315527,8.545325e-05,Hybrid,KBH(QHC21_BT)
0.9999973773956299,0.019534111,0.00080818555,2.9637524e-06,0.9999968163487597,6.863138e-05,Hybrid,QHC19-C
0.9999945759773254,0.019983292,0.0010167611,5.604631e-06,0.9999937107226191,8.422263e-05,Hybrid,KBH(QHC21_CT)
0.9999991059303284,0.008219719,0.00060292875,1.2621507e-06,0.999999075417794,4.4649656e-05,Hybrid,DS(CMF)-8 Hybrid
0.9999976754188538,0.01198864,0.00085402915,2.5020017e-06,0.9999969066310072,7.33467e-05,Hybrid,QHC19-B
0.9999932646751404,0.025876999,0.0010432824,6.617932e-06,0.9999922100534581,8.677756e-05,Hybrid,KBH(QHC21_DT)
0.9999970197677612,0.013513565,0.0010180781,4.1294807e-06,0.9999963894418707,7.6210614e-05,Hybrid,DS(CMF)-3 Hybrid
0.9999907612800598,0.021834373,0.0016998132,1.0350207e-05,0.9999889469595292,0.0001485567,Hybrid,QHC18
0.9999956488609314,0.019751549,0.0013095374,6.3511116e-06,0.9999941343932819,0.00010414689,Hybrid,KBH(QHC21_B)
0.9999972581863403,0.019061089,0.0008601828,3.1039465e-06,0.9999966283838768,7.3217605e-05,Hybrid,QHC19-D
0.9999935030937195,0.024751663,0.0015191447,1.0360893e-05,0.9999922722804377,0.00011220022,Hybrid,DS(CMF)-1 Hybrid
0.9999964833259583,0.021284103,0.000950911,5.06963e-06,0.9999960384632269,7.245903e-05,Hybrid,DS(CMF)-4 Hybrid
0.9999991059303284,0.010172844,0.00061235536,1.2975294e-06,0.9999990563561834,4.5183475e-05,Hybrid,DS(CMF)-5 Hybrid
0.999994158744812,0.021497726,0.0013466653,7.739189e-06,0.9999925081678064,0.00010734712,Hybrid,KBH(QHC21_A)
0.9999955296516418,0.023143768,0.0013361255,7.5335224e-06,0.9999950442050384,9.7582015e-05,Hybrid,DS(CMF)-2 Hybrid
0.9999991059303284,0.012639999,0.00049709214,1.0600733e-06,0.9999990364063537,3.67205e-05,Hybrid,DS(CMF)-6 Hybrid
0.9999986886978149,0.014102936,0.00061573385,1.6906708e-06,0.9999985899553785,4.5421973e-05,Hybrid,DS(CMF)-7 Hybrid
0.9999905228614807,0.023561478,0.0017859265,1.2246066e-05,0.9999872757371574,0.00014022725,Hybrid,"JJ(VQCD(APR)), soft"
0.9999931454658508,0.021679878,0.00087856717,5.2446267e-06,0.9999925998847246,7.269309e-05,Hybrid,KBH(QHC21_AT)
0.9999958872795105,0.020350456,0.001039896,6.2598447e-06,0.9999952565965985,7.636657e-05,Hybrid,OOS(DD2-FRG)-2 flavors
